Unnamed: 0,absence of mental illness,absence of physical illness,cognitive health,emotional health,physical activity health,sensory health,sleep health,subclinical health,Years since publication,contribution index
doc9309,0,1,0,0,0,0,0,0,11,0.134684812
doc5270,0,1,0,0,0,0,0,0,6,0.134809078
doc11970,0,0.641875471,0,0,0,0,0,0.358124529,3,0.134826489
doc7152,0,0,0,0,0,1,0,0,17,0.134901098
doc10761,0,0,0,0,0,1,0,0,15,0.135081154
doc7799,0,0.747075692,0,0,0,0.252924308,0,0,25,0.135155391
doc7246,0,1,0,0,0,0,0,0,5,0.135188565
doc13174,0,1,0,0,0,0,0,0,12,0.135239596
doc6828,0,1,0,0,0,0,0,0,13,0.135346608
doc9621,0,1,0,0,0,0,0,0,16,0.135571735
doc3857,0,0.573201687,0.426798313,0,0,0,0,0,30,0.135859955
doc2459,0,0.824600114,0.175399886,0,0,0,0,0,4,0.135968553
doc5644,0,0,0,0,1,0,0,0,19,0.135995952
doc5526,0,0,0,0,1,0,0,0,3,0.136181851
doc9584,0,1,0,0,0,0,0,0,2,0.136181851
doc3489,0,0.101515958,0,0,0,0.898484042,0,0,22,0.136204662
doc8416,0,0.110341875,0,0,0.889658125,0,0,0,5,0.13662309
doc7737,0,1,0,0,0,0,0,0,4,0.13662733
doc1392,0,1,0,0,0,0,0,0,6,0.136808055
doc8975,0,1,0,0,0,0,0,0,10,0.136808055
doc3684,0,0.229255812,0,0,0,0.770744188,0,0,15,0.136846491
doc10831,0,0,0,0,0,0,0,1,17,0.13741226
doc2778,0,0,0,0,0,1,0,0,33,0.137438728
doc3030,0,1,0,0,0,0,0,0,9,0.137449465
doc7448,0,0,0,0,0.91913206,0,0,0.08086794,10,0.137653268
doc5114,0,1,0,0,0,0,0,0,2,0.137973966
doc2457,0,1,0,0,0,0,0,0,4,0.1381076
doc11036,0,0,0,0,0,0,0,1,6,0.138283667
doc10614,0,0,0,0,0.495765484,0,0,0.504234516,2,0.138569068
doc11727,0,0.251877143,0,0,0.340242176,0.407880681,0,0,8,0.139040402
doc8479,0,0,0,1,0,0,0,0,30,0.139202853
doc2266,0,0,0.504234522,0,0.495765478,0,0,0,15,0.139215498
doc10597,0,1,0,0,0,0,0,0,13,0.139222323
doc3343,0,0.085216761,0,0,0.914783239,0,0,0,5,0.139485238
doc9802,0,1,0,0,0,0,0,0,12,0.139751287
doc3278,0,0.38177212,0,0,0,0.61822788,0,0,13,0.139895777
